Identifier,Term,Class,Class.Nbr,Section,Primary.Instruction.Section,Class.Description,Official.Grade,Status.Cd,Status.Reason,Enrolled.Hours,Add.Date,IPEDS.Ethnicity,X1st.Gen.College.Std.Flag,Mail.City,Mail.State.Cd,Mail.Country,Home.City,Home.State.Cd,Home.County,Home.Country,Academic.Level.Begin.of.Term,Cum.GPA,Total.Cum.Units,Total.NAU.Units,Primary.Academic.Program,Primary.Academic.Plan,Sub.Plan,Student.Campus,College.Cd,College,Division.Cd,Division,Unit.Cd,Unit,First.Term.Enrolled.Cd.Ugrd,First.Term.Enrolled.Cd.Grad,Last.Term.Enrolled,Class.Campus.Cd,Class.Campus,Instruction.Mode,Age,Sex,1st.Gen.College.Std.Flag,section_code,Passed,Passed_int,hw_submissions,hw_score_mean,hw_time_total_min,hw_fast_submit_rate,hw_available,hw_completion_rate,unit1_exam_score,Attendance...Participation.Final.Score,Pre.Class.Prep.Final.Score,Check.Your.Understanding.Final.Score,Friday.Funday.Final.Score,Module.Knowledge.Assessments.Final.Score,Module.Practice.Knowledge.Assessments.Final.Score,Final.Knowledge.Assessment.Final.Score,Study.Skills.Videos.Final.Score,Final.Score,Projects.Final.Score,Assignments.Final.Score
1103.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,White,,,,,,,,USA,Freshman,4.0,15.0,15.0,,Biomedical Science (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,67.0,97.60119402985075,1756.75,0.1323529411764706,157.0,0.4267515923566879,95.0,100.0,99.12,100.0,100.0,97.27,57.47,89.5,100.0,96.7,,
1104.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,White,,,,,,,,USA,Freshman,4.0,28.0,16.0,,Nursing (BSN),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1105.0,1247.0,MAT 125,4726.0,6.0,,,D,,Enrolled,,,White,,,,,,,,USA,Sophomore,1.67,61.0,15.0,,Computer Science (BSCS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,False,0,68.0,65.37029411764706,1819.8166666666666,0.25,157.0,0.43312101910828027,67.8,83.62,79.72,62.26,56.99,65.45,50.36,60.11,33.33,66.12,,
1106.0,1247.0,MAT 125,4726.0,6.0,,,D,,Enrolled,,,White,,,,,,,,USA,Freshman,1.93,16.0,16.0,,Chemistry (BS),Forensics & Criminalistics Emp,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,Y,1247-NA,False,0,68.0,80.08323529411764,2088.733333333333,0.20588235294117646,157.0,0.43312101910828027,93.55,59.32,90.12,86.58,91.64,42.87,21.46,75.0,44.44,61.17,,
1107.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,White,,,,,,,,USA,Freshman,3.27,22.0,12.0,,Engineering-Undecided,,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1108.0,1247.0,MAT 125,4726.0,6.0,,,B,,Enrolled,,,White,,,,,,,,USA,Freshman,3.56,30.0,9.0,,Environmental Sciences (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,68.0,94.63999999999999,2487.5333333333333,0.11764705882352941,157.0,0.43312101910828027,91.59,77.02,97.95,91.3,97.2,80.97,60.19,89.23,88.89,84.65,,
1109.0,1247.0,MAT 125,4726.0,6.0,,,F,,Enrolled,,,Hispanic/Latino,,,,,,,,USA,Freshman,2.23,29.0,10.0,,SecEd-Physics (BSED),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,False,0,68.0,31.808382352941173,2470.7166666666667,0.5588235294117647,157.0,0.43312101910828027,44.0,33.83,45.29,31.73,28.06,11.0,9.02,0.0,22.22,16.23,,
1110.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,White,,,,,,,,USA,Freshman,3.94,28.0,19.0,,Exploratory,,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,68.0,88.98426470588235,2487.5833333333335,0.058823529411764705,157.0,0.43312101910828027,93.4,92.77,90.75,86.13,89.94,94.6,33.44,87.6,88.89,91.59,,
1111.0,1247.0,MAT 125,4726.0,6.0,,,F,,Enrolled,,,White,,,,,,,,USA,Freshman,0.92,9.0,9.0,,Biology (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,Y,1247-NA,False,0,68.0,75.59632352941176,2872.3333333333335,0.1323529411764706,157.0,0.43312101910828027,65.55,51.09,78.71,78.46,67.78,43.42,20.43,0.0,55.56,41.9,,
1112.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,Hispanic/Latino,,,,,,,,USA,Freshman,2.75,16.0,16.0,,Mechanical Engineering (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,19.0,Male,N,1247-NA,False,0,59.0,83.42711864406779,2340.883333333333,0.22058823529411764,157.0,0.37579617834394907,76.0,91.38,79.4,80.81,92.91,95.25,69.87,83.58,22.22,90.62,,
1113.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,Two or More,,,,,,,,USA,Freshman,3.75,25.0,13.0,,Astronomy (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,Y,1247-NA,True,1,68.0,97.60014705882354,3642.2,0.10294117647058823,157.0,0.43312101910828027,99.5,93.19,99.01,99.83,99.65,96.25,47.0,91.73,88.89,95.55,,
1114.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,Hispanic/Latino,,,,,,,,USA,Freshman,4.0,32.0,22.0,,Biomedical Science (BS),,Flagstaff Mountain,,,,,,,1244.0,,1251.0,FLGMT,,In Person,17.0,Female,Y,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1115.0,1247.0,MAT 125,4726.0,6.0,,,B,,Enrolled,,,Hispanic/Latino,,,,,,,,USA,Freshman,3.44,30.0,16.0,,Exploratory,,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,68.0,96.71441176470589,3592.0333333333333,0.058823529411764705,157.0,0.43312101910828027,90.5,96.0,97.37,95.72,99.17,84.33,42.94,70.78,100.0,86.11,,
1116.0,1247.0,MAT 125,4726.0,6.0,,,W,,Withdrawn from Class,,,White,,,,,,,,USA,Freshman,2.0,33.0,7.0,,Criminology&CrimJust (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1117.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,White,,,,,,,,USA,Freshman,3.0,17.0,17.0,,Mathematics (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,19.0,Female,N,1247-NA,True,1,68.0,88.31441176470588,2180.4666666666667,0.10294117647058823,157.0,0.43312101910828027,88.55,90.11,91.96,81.3,97.92,92.61,55.41,82.73,100.0,89.63,,
1118.0,1247.0,MAT 125,4726.0,6.0,,,F,,Enrolled,,,Asian,,,,,,,,USA,Freshman,2.42,12.0,8.0,,Biomedical Science (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,False,0,68.0,54.79705882352941,2326.8,0.38235294117647056,157.0,0.43312101910828027,86.2,66.17,65.54,40.36,85.58,59.53,25.02,37.88,66.67,56.95,,
1119.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,Hispanic/Latino,,,,,,,,USA,Freshman,3.71,20.0,14.0,,Biology (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,Y,1247-NA,True,1,68.0,99.66014705882354,4574.066666666667,0.08823529411764706,157.0,0.43312101910828027,100.0,89.47,99.82,99.49,99.38,97.0,70.63,80.6,100.0,93.0,,
1120.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,White,,,,,,,,USA,Freshman,2.27,20.0,15.0,,Software Engineering (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Unknown,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1121.0,1247.0,MAT 125,4726.0,6.0,,,D,,Enrolled,,,Two or More,,,,,,,,USA,Freshman,2.93,23.0,14.0,,Environmental Sciences (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,False,0,67.0,94.6644776119403,2866.516666666667,0.029411764705882353,157.0,0.4267515923566879,46.67,95.79,94.5,95.03,88.31,53.32,27.81,27.67,100.0,62.66,,
1122.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,White,,,,,,,,USA,Freshman,4.0,18.0,15.0,,Construction Mgt (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,True,1,68.0,99.20044117647059,1981.15,0.07352941176470588,157.0,0.43312101910828027,92.5,100.0,98.81,99.23,100.0,86.7,53.31,82.5,88.89,90.57,,
1123.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,American Indian/Alaska Native,,,,,,,,USA,Freshman,0.0,4.0,0.0,,Civil Engineering (BS),,Flagstaff Mountain,,,,,,,1247.0,,1247.0,FLGMT,,In Person,19.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
